doors,FOB,CIF,mileage,cc,make,currency,model,registered,steering,url,fuel,transmission
5,5350.0,0,69000,4000,Ford,USD,Explorer,2006-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6372178-japan-used-ford-explorer-suv-2006.html,Petrol,Automatic
5,30910.0,0,64000,2300,Ford,USD,Explorer,2016-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6261725-japan-used-ford-explorer-suv-2016.html,Petrol,Automatic
3,,0,115000,2000,Toyota,USD,Celica,1995-02-01T00:00:00,RHD,https://www.japanesecartrade.com/5957367-japan-used-toyota-celica-sports-cars-1995.html,Petrol,F5
5,7300.0,0,72000,4000,Ford,USD,Explorer,2009-01-01T00:00:00,LHD,https://www.japanesecartrade.com/5752506-japan-used-ford-explorer-suv-2009.html,Petrol,Automanual
5,8340.0,0,92000,4000,Ford,USD,Explorer,2008-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6205310-japan-used-ford-explorer-suv-2008.html,Petrol,Automanual
5,6740.0,0,58000,4000,Ford,USD,Explorer,2007-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6262074-japan-used-ford-explorer-suv-2007.html,Petrol,Automatic
3,4400.0,0,81000,1800,Toyota,USD,Celica,2005-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6346887-japan-used-toyota-celica-sports-cars-2005.html,Gasolin,Automatic
3,4660.0,0,185000,1800,Toyota,USD,Celica,1999-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6157986-japan-used-toyota-celica-sports-cars-1999.html,Petrol,MT
5,14240.0,0,82000,3500,Ford,USD,Explorer,2014-01-01T00:00:00,LHD,https://www.japanesecartrade.com/5962445-japan-used-ford-explorer-suv-2014.html,Petrol,Automanual
5,17660.0,0,66000,2000,Ford,USD,Explorer,2014-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6203440-japan-used-ford-explorer-suv-2014.html,Petrol,Automatic
5,13000.0,0,97000,3500,Ford,USD,Explorer,2013-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6142320-japan-used-ford-explorer-suv-2013.html,Petrol,Automanual
5,25720.0,0,64000,2300,Ford,USD,Explorer,2015-01-01T00:00:00,LHD,https://www.japanesecartrade.com/5856837-japan-used-ford-explorer-suv-2015.html,Petrol,Automanual
,6880.0,0,105000,3500,Ford,USD,Explorer,2012-01-01T00:00:00,LHD,https://www.japanesecartrade.com/5398225-japan-used-ford-explorer-suv-2012.html,Petrol,Automatic
3,8620.0,0,188000,2000,Toyota,USD,Celica,1997-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6211747-japan-used-toyota-celica-sports-cars-1997.html,Petrol,MT
